strategy,symbol,hour,n,wins,total,avg,hit
fair_value_gap,ZF,22,72,32,845.5823660711605,11.744199528766119,44.44444444444444
support_resistance_bounce,CL,11,5,1,844.2101113455617,168.84202226911233,20.0
vol_spike_fade,CL,20,11,7,835.0631591796589,75.91483265269626,63.63636363636363
bollinger_squeeze_break,NG,22,17,8,827.6914925439279,48.68773485552517,47.05882352941176
pivot_reversal,6E,5,53,21,827.368247767738,15.610721655995057,39.62264150943396
support_resistance_bounce,ES,22,12,4,823.753571428487,68.64613095237392,33.33333333333333
pivot_reversal,NG,18,36,15,818.6251501083817,22.739587503010604,41.66666666666667
pivot_reversal,CL,0,10,6,816.305202811113,81.6305202811113,60.0
liquidity_sweep,CL,16,17,8,815.7334176200181,47.98431868353048,47.05882352941176
order_block,ZB,5,8,5,808.8026785713737,101.10033482142171,62.5
gap_fill,ZN,21,49,34,807.816964285694,16.486060495626408,69.38775510204081
keltner_breakout,ZB,10,8,5,807.6937500000084,100.96171875000105,62.5
inside_bar_break,NG,5,102,43,804.276526314883,7.885063983479244,42.15686274509804
keltner_breakout,ZT,16,15,8,802.790625000017,53.51937500000113,53.333333333333336
fair_value_gap,ZB,5,50,20,800.4607142857507,16.009214285715014,40.0
support_resistance_bounce,ZT,6,13,6,799.8861607144481,61.52970467034216,46.15384615384615
support_resistance_bounce,NG,11,18,4,796.1549878801607,44.23083266000893,22.22222222222222
pivot_reversal,6E,13,49,21,789.8635221925686,16.119663718215683,42.857142857142854
vol_regime_trend,ZF,5,5,4,781.7874999999489,156.35749999998978,80.0
pivot_reversal,ES,4,8,5,775.2160714286233,96.90200892857791,62.5
pivot_reversal,NG,19,31,13,774.3190423283872,24.978033623496362,41.935483870967744
support_resistance_bounce,NQ,21,5,1,765.5071428571014,153.10142857142029,20.0
keltner_breakout,NG,18,14,7,764.2529168129003,54.589494058064304,50.0
pivot_reversal,NG,6,50,19,760.6194081578993,15.212388163157987,38.0
support_resistance_bounce,ZF,19,28,10,759.361607142918,27.120057397961357,35.714285714285715
pivot_reversal,NG,8,29,13,753.4236055101519,25.980124327936274,44.827586206896555
pivot_reversal,ZN,19,10,6,746.899553571388,74.6899553571388,60.0
opening_range_breakout,CL,2,12,5,738.558025687118,61.54650214059316,41.66666666666667
support_resistance_bounce,ZF,22,29,7,735.3616071427759,25.357296798026756,24.137931034482758
opening_range_breakout,ES,21,17,6,731.5642857143116,43.03319327731245,35.294117647058826
liquidity_sweep,ES,4,28,12,727.3178571430714,25.97563775510969,42.857142857142854
gap_fill,ZT,18,38,21,727.229910714306,19.137629229323842,55.26315789473685
pivot_reversal,ZB,19,14,7,715.374999999943,51.09821428571022,50.0
support_resistance_bounce,ES,2,12,2,715.0464285715132,59.58720238095943,16.666666666666664
pivot_reversal,ZF,7,23,11,713.668973214363,31.029085791928825,47.82608695652174
pivot_reversal,CL,23,6,4,711.2018147059767,118.53363578432946,66.66666666666666
support_resistance_bounce,6E,6,11,2,709.5714881216411,64.50649892014918,18.181818181818183
order_block,ES,0,6,4,708.9142857144027,118.15238095240045,66.66666666666666
order_block,6E,3,20,9,707.2131966149572,35.360659830747856,45.0
order_block,6E,5,9,5,702.7834346499237,78.08704829443597,55.55555555555556
pivot_reversal,ES,22,18,8,698.3053571426622,38.79474206348123,44.44444444444444
keltner_breakout,ZB,16,17,8,696.3000000000227,40.9588235294131,47.05882352941176
pivot_reversal,ES,20,14,7,694.8535714284413,49.632397959174384,50.0
bollinger_squeeze_break,6E,14,21,9,692.7872394767436,32.9898685465116,42.857142857142854
vol_regime_trend,NG,1,11,6,690.8011863708505,62.8001078518955,54.54545454545454
narrow_range_break,NG,11,78,26,687.6518785749172,8.81604972531945,33.33333333333333
order_block,NG,18,9,5,682.3945117677949,75.82161241864388,55.55555555555556
bollinger_mean_reversion,ZB,7,5,5,673.8749999999687,134.77499999999375,100.0
fair_value_gap,ZF,13,49,22,671.661383928598,13.707375182216285,44.89795918367347
keltner_breakout,NG,12,12,6,671.4045619010986,55.950380158424885,50.0
inside_bar_break,ES,4,12,5,667.9571428571558,55.66309523809631,41.66666666666667
liquidity_sweep,6E,14,66,27,667.4466142618336,10.112827488815661,40.909090909090914
volume_spike_reversal,ES,3,5,4,665.3964285715584,133.07928571431168,80.0
pivot_reversal,ZB,9,36,14,657.4437499999572,18.2623263888877,38.88888888888889
gap_fill,ZB,7,25,12,656.251785714235,26.2500714285694,48.0
liquidity_sweep,CL,5,10,5,655.2328805106006,65.52328805106006,50.0
liquidity_sweep,ZF,7,32,15,655.2006696428613,20.475020926339415,46.875
keltner_breakout,NG,14,13,7,639.7475867271448,49.21135282516499,53.84615384615385
fair_value_gap,6E,2,96,38,638.4508213721832,6.650529389293575,39.58333333333333
support_resistance_bounce,CL,21,6,2,637.4777282714701,106.24628804524502,33.33333333333333
